srcStateName,srcYear,Budget type,Total expenditure,Developmental expenditure,Social services,"Education, sports, art and culture",Medical and public health,Family welfare,Water supply and sanitation,Housing,Urban development,"Welfare of scheduled caste, scheduled tribes and other backward classes",Labour and labour welfare,Social security and welfare,Nutrition,Relief on account of natural calamities,Other social services,Economic services,Agriculture and allied activities,Crop husbandry,Soil and water conservation,Animal husbandry,Dairy development,Fisheries,Forestry and wild life,Plantations,Food storage and Warehousing,Agricultural research and education,Agricultural finance institutions,Cooperation,Other agricultural programmes,Rural development,Special area programmes,Irrigation and flood control,Major and medium irrigation,Minor irrigation,Flood control and drainage,Energy,Power,Industry and minerals,Village and small industries,Industries,Other industries,Transport and communications,Roads and bridges,Others means of transport and communications,"Science, technology and environment",General economic services,Secretariat services,Tourism,Civil supplies,Others general economic services,Non developmental expenditure,Organs of state,Fiscal services,Collection of taxes and duties,Other fiscal services,Interest payments and services of debt,Appropriation for reduction or avoidance of debt,Interest payments,Interest on loans from the centre,Interest on internal debt,Interest on market loans,Interest on National Food Security Food ( NSSF ),"Interest on small savings, provident funds, etc",Other interests on internal debt,Administrative services,Secretariat services,District administration,Police,Public works,Other administrative services,Pensions,Miscellaneous general services,Payment on account of state lotteries,Grants-in-aid and contributions,Compensation and assignments to local bodies and Panchayati Raj Institutions,"Transfers to road fund, education cess fund, etc",Reserve with finance department,YearCode,Year
MIZORAM,2016-17,Budget Estimates,638857,379088,229669,117303,41059,370,14355,785,6717,28998,2588,13974,302,1800,1420,149419,42800,17980,1649,7301,495,876,7270,0,4667,412,0,1683,467,32250,4040,2234,0,1284,0,32056,32056,7981,7285,697,0,22060,16362,5698,466,5532,1448,675,1864,1546,259769,6376,8298,8136,162,58329,3330,54999,1909,44690,42827,1800,8400,0,109496,33553,4352,51578,6175,13838,77000,271,271,0,0,0,0,2016,"Financial Year (Apr - Mar), 2016"
ODISHA,2016-17,Revised Estimates,7274007,5115959,3053158,1300130,412995,34345,209807,32491,124785,222002,13624,426651,9435,244596,22297,2062801,696315,385614,26798,36453,1525,13589,59998,0,106528,12944,0,52037,831,827563,0,181995,73021,65969,18412,8974,1267,54352,24377,20547,9428,203754,202325,1430,6801,83046,66219,5255,4888,6685,2056242,63454,84135,83505,630,465000,0,465000,36942,233358,80040,106300,194700,0,492078,25861,16767,269526,102392,77532,949500,2075,0,101807,101807,0,0,2016,"Financial Year (Apr - Mar), 2016"
HIMACHAL PRADESH,2016-17,Budget Estimates,2674599,1691298,1077780,599146,142626,42957,111889,10904,27053,7290,18115,79071,6510,24800,7417,613518,185184,53594,5994,32356,2061,1881,48537,194,21709,14072,0,3786,1000,146269,0,36788,3017,32591,500,47736,47204,13004,10136,2868,0,169235,147662,21573,1011,14291,5021,5973,1761,1536,982801,23926,29264,29130,134,340000,0,340000,7990,244380,155498,70000,87630,0,167049,8255,19177,85540,31628,22449,420000,2562,0,500,500,0,0,2016,"Financial Year (Apr - Mar), 2016"
KARNATAKA,2016-17,Budget Estimates,13023607,8923734,5096026,1987106,534720,66207,311695,373800,251710,664119,56663,624115,140492,50824,34575,3827708,1131465,388406,44497,85590,94348,22077,99241,0,205197,64328,0,127781,0,626748,60847,170894,117710,30060,60,779138,777212,125477,92070,33407,0,373553,286177,87376,7500,552086,37716,15713,1794,496863,3501842,109505,108341,107477,864,1320654,53500,1267154,73650,994812,764839,197686,198678,14,741035,16389,49695,343409,94166,237376,1212296,10011,0,598031,598031,0,0,2016,"Financial Year (Apr - Mar), 2016"
KARNATAKA,2016-17,Revised Estimates,13180476,9282343,5366274,2058106,551375,64747,372756,380300,282140,687927,56539,624195,139970,112651,35569,3916069,1216063,406749,40030,83587,100448,22414,156573,0,203397,66328,0,136536,0,631385,45848,167434,114497,29813,60,780019,778093,129983,87390,42593,0,378661,291397,87264,7510,559167,36342,15713,3504,503609,3309178,113188,107727,106863,864,1282627,53500,1229127,73650,956785,716350,209398,198678,14,583329,21624,50513,353462,78322,79408,1212296,10011,0,588955,588955,0,0,2016,"Financial Year (Apr - Mar), 2016"
ODISHA,2016-17,Budget Estimates,7444338,5167991,3088877,1351319,375572,32230,195512,37425,123613,222214,12344,464242,9432,245887,19088,2079115,695538,402939,39692,37696,1515,15565,55154,0,89656,11030,0,41517,774,814467,0,191409,72503,75113,18195,4542,645,52739,23200,20512,9027,236880,235473,1408,6796,76744,62390,5246,4181,4927,2176377,60730,78734,78104,630,465000,0,465000,36942,233358,80040,106300,194700,0,620351,163202,16185,262453,101909,76602,949500,2063,0,99970,99970,0,0,2016,"Financial Year (Apr - Mar), 2016"
KARNATAKA,2016-17,Accounts,13192075,9497061,5454924,2008405,551071,62851,432357,354114,262417,678040,49601,577511,139639,303726,35192,4042137,1197646,410709,42578,84021,100797,24124,144170,0,190559,66328,0,134360,0,554674,45657,158891,111552,22823,13,923701,922870,131361,85962,45399,0,484418,401600,82819,7883,537907,31104,15239,1918,489646,3126455,102093,100050,99272,778,1203276,0,1203276,54838,957841,716346,209398,190380,217,581607,17822,46205,371155,76363,70063,1129515,9915,0,568558,568558,0,0,2016,"Financial Year (Apr - Mar), 2016"
ANDHRA PRADESH,2016-17,Revised Estimates,11230638,7847001,5227861,1973672,415007,136710,95085,99679,451849,859119,26206,668221,316197,156493,29623,2619139,821303,599770,4719,82700,0,30093,31845,0,7018,48509,0,14967,1683,1025993,0,63608,53360,9834,78,369822,369148,118591,53420,58921,6250,99423,80441,18982,3576,116823,85238,5098,14922,11565,3377037,91047,111140,111140,0,1280335,59500,1220835,37950,1050622,872717,131576,132262,0,688734,45909,112240,423486,24934,82163,1205774,8,0,6600,6600,0,0,2016,"Financial Year (Apr - Mar), 2016"
MAHARASHTRA,2016-17,Accounts,21322873,13412453,9028199,4535818,943639,68505,299333,171131,1016323,918680,84541,413953,250774,305943,19560,4384254,1324537,723413,10065,102952,37317,14728,205130,0,22986,82392,0,114960,10595,701849,126,254397,174592,76210,1808,961073,916609,310213,29925,280288,0,610591,532135,78456,23732,197988,129052,60226,0,8710,7160942,186499,306966,306639,326,3113192,260000,2853192,46852,2355276,1576954,731102,443618,7446,1854410,25551,501158,1119051,112119,96531,1685786,14091,12351,749478,749478,0,0,2016,"Financial Year (Apr - Mar), 2016"
MAHARASHTRA,2016-17,Revised Estimates,23438966,15129616,10456576,4807124,1098592,80942,528791,337663,1139704,1054173,108365,458036,294732,519997,28456,4673040,1257569,589277,15573,111583,36449,15446,208852,0,24993,84362,0,159356,11678,865039,50,300346,168229,128279,1800,1087391,1038908,312794,32135,280660,0,620916,527970,92945,22612,206324,128375,65855,0,12093,7535794,210806,389865,389503,361,3142969,260000,2882969,57439,2346119,1563883,731102,468575,10837,1979993,30648,532147,1170571,129349,117277,1797257,14905,12958,773556,773556,0,0,2016,"Financial Year (Apr - Mar), 2016"
PUNJAB,2016-17,Revised Estimates,6273381,3173169,1787231,978821,294296,20318,50814,45700,8742,67137,20653,189185,15225,73123,23217,1385937,805136,685078,14394,39473,1157,1837,15395,0,0,38770,0,8223,809,38657,0,122087,94202,14959,12927,289183,285235,8489,5077,3412,0,43861,8687,35174,1008,77515,3519,10257,59956,3783,2896459,84786,55554,50917,4637,1198171,0,1198171,15015,985662,606151,232493,163088,34406,737500,29345,34224,516167,40296,117468,814016,6433,6233,203753,203753,0,0,2016,"Financial Year (Apr - Mar), 2016"
PUNJAB,2016-17,Accounts,5529605,2588971,1567210,881324,267095,19683,35807,36249,4732,52089,19414,148743,13571,66901,21602,1021761,571776,457835,13269,38309,1038,1793,13669,0,0,37259,0,7891,713,26143,0,126172,98874,14635,12663,165451,161511,6263,4864,1399,0,50478,18148,32330,482,74997,2891,10089,59114,2904,2848793,75201,51317,46714,4603,1164176,0,1164176,15725,956461,703230,227909,158325,33664,675168,16246,32588,474172,42905,109257,877344,5588,5447,91841,91841,0,0,2016,"Financial Year (Apr - Mar), 2016"
RAJASTHAN,2016-17,Budget Estimates,13205252,9314368,4954987,2522266,570071,257491,251683,7245,453285,136592,50280,422043,157276,116765,9989,4359381,582921,328203,5472,72152,871,1445,87669,0,0,22759,0,63410,939,1425781,210,196324,173793,20411,0,1787734,1784661,51213,6104,45109,0,167475,135225,32250,6380,141343,23389,7947,45878,64129,3890850,88683,192860,192626,234,1752663,0,1752663,42192,1376678,631737,184670,321143,12650,566015,19446,43459,435997,1457,65656,1249346,41283,0,34,34,0,0,2016,"Financial Year (Apr - Mar), 2016"
NAGALAND,2016-17,Accounts,866407,476762,230521,129194,45659,2582,8108,5718,1667,2732,3165,11407,12487,3679,4123,246241,48226,18609,5412,7607,31,2807,7709,0,3216,1146,0,1689,0,81106,2693,2669,0,2669,0,43196,42842,10285,7582,2703,0,39879,32732,7147,943,17244,12136,1401,0,3707,389645,9331,6497,6492,5,86050,22500,63550,1525,56154,45697,1714,5871,0,177943,9867,12532,125913,13354,16277,109347,477,249,0,0,0,0,2016,"Financial Year (Apr - Mar), 2016"
NAGALAND,2016-17,Revised Estimates,953004,533549,279567,162114,55412,3128,8508,6223,3858,3889,4151,13003,12509,2821,3952,253982,53597,22246,5277,8349,602,3136,7707,0,3342,1236,0,1703,0,81088,2526,3057,0,3057,0,43211,42851,11797,9092,2705,0,39763,32588,7176,1411,17532,12193,1408,0,3931,419455,9395,6575,6570,5,102123,22500,79623,1525,71503,60768,2000,6595,0,175019,9917,12633,123060,12595,16814,125817,525,272,0,0,0,0,2016,"Financial Year (Apr - Mar), 2016"
NAGALAND,2016-17,Budget Estimates,966705,542538,280900,168979,53792,3055,8908,4014,3750,3500,7878,16228,5523,1179,4094,261637,52298,22151,4020,8647,1317,3187,8056,0,2015,1236,0,1668,0,74533,12610,2993,0,2993,0,39418,39059,10564,8201,2363,0,33983,26786,7198,1563,33676,27869,1392,0,4414,424167,7474,6231,6226,5,106169,22500,83669,1802,75272,60768,2000,6595,0,163653,9390,12420,113770,12337,15738,140229,412,254,0,0,0,0,2016,"Financial Year (Apr - Mar), 2016"
BIHAR,2016-17,Budget Estimates,10994078,7375112,4714659,2176961,654829,24451,90812,214842,283704,358281,72670,623811,127261,58732,28305,2660453,403194,231020,21456,33150,10437,9628,23547,0,2301,50300,0,18810,2544,1062973,0,115223,54667,30187,19554,534718,518739,96461,12471,83990,0,205576,204470,1106,0,242309,10007,2946,212646,16710,3618468,133596,108877,108628,249,874094,56212,817882,36887,689558,420677,223543,90690,748,873371,24833,60875,591643,58788,137232,1628530,0,0,499,499,0,0,2016,"Financial Year (Apr - Mar), 2016"
RAJASTHAN,2016-17,Revised Estimates,13426617,9426934,5182660,2556318,563206,229619,284889,8817,515061,141110,50827,454604,148217,215676,14315,4244274,554809,296843,6705,78715,0,1327,83091,0,0,22036,0,65157,935,1274450,188,205103,184592,18539,0,1828118,1827066,46781,5965,40816,0,192103,153832,38271,5955,136769,29801,10295,52711,43963,3999669,94073,227218,226992,226,1773450,0,1773450,43276,1400519,657591,212372,316395,13261,608003,18580,44110,456262,16425,72626,1268786,28138,0,14,14,0,0,2016,"Financial Year (Apr - Mar), 2016"
RAJASTHAN,2016-17,Accounts,12714014,8793682,4937168,2449821,545367,228416,262463,8840,469323,110045,49475,442668,142081,215554,13116,3856514,513997,265589,6461,77664,0,1239,79406,0,0,21867,0,60865,906,1113982,136,194181,179055,13268,0,1685235,1684206,44523,6026,38497,0,168571,140681,27891,4139,131751,29450,9608,51723,40969,3920326,88663,219470,219274,196,1767693,0,1767693,43655,1400251,657591,212372,312969,10819,586801,17022,41953,443583,15212,69031,1229567,28131,0,6,6,0,0,2016,"Financial Year (Apr - Mar), 2016"
GUJARAT,2016-17,Revised Estimates,10900947,7033083,4686938,1871360,541212,113901,171018,206671,892527,344031,91004,90596,257323,86834,20461,2346145,535656,248050,19165,49572,10798,17352,49124,0,5200,62533,0,72104,1758,366408,7867,124628,57391,62191,3701,508350,505904,229351,95790,133561,0,448768,412035,36733,24969,100148,11274,9162,72091,7621,3825936,100905,69754,69514,240,1911635,120000,1791635,47967,1566416,1020513,481274,87280,89973,528632,33424,39376,354722,33111,67999,1159679,55331,0,41928,41928,0,0,2016,"Financial Year (Apr - Mar), 2016"
GUJARAT,2016-17,Accounts,10389483,6767453,4492602,1855976,520813,103370,145816,179233,862583,324882,84229,81976,235604,79110,19010,2274851,503519,223498,21369,43748,8863,16816,47779,0,4603,62512,0,73021,1310,342350,7454,124618,58865,61079,3335,508317,505871,223437,94763,128674,0,452822,416112,36710,24928,87406,9637,9162,61333,7274,3580435,89756,64380,64171,209,1779684,0,1779684,46921,1564775,1020493,481274,79105,88883,512001,31335,36377,349388,27388,67513,1130304,4310,0,41595,41595,0,0,2016,"Financial Year (Apr - Mar), 2016"
BIHAR,2016-17,Revised Estimates,11929362,8256114,5335445,2278790,660704,24461,140888,530518,322704,319828,56386,682443,122523,167807,28393,2920670,419095,235477,19303,34869,10437,9628,34897,0,2301,51107,0,19532,1544,1062929,0,117723,54667,30187,22054,770348,754370,101058,12471,88588,0,205576,204470,1106,0,243940,10314,3646,212654,17327,3672749,139791,118639,118390,249,903091,56212,846880,36887,718555,420677,238867,90690,748,882693,25488,61714,595359,59444,140689,1628535,0,0,499,499,0,0,2016,"Financial Year (Apr - Mar), 2016"
MAHARASHTRA,2016-17,Budget Estimates,22445461,13921315,9829328,4870743,905154,81007,483299,103976,1023195,1083325,111103,447701,134070,557154,28600,4091987,934906,350284,8813,118492,43409,12495,207688,0,25441,82800,0,77123,8362,1212606,82,321151,179498,136443,2146,576012,558889,303889,31784,272105,0,526917,479164,47753,10869,205554,126191,67232,0,12131,7671709,217687,292810,292277,533,3081983,260000,2821983,57439,2265701,1488323,725885,486334,12510,2146765,32265,533574,1101555,151466,327907,1906782,25681,13149,852437,852437,0,0,2016,"Financial Year (Apr - Mar), 2016"
MEGHALAYA,2016-17,Accounts,833654,585638,309910,160814,56560,3873,18636,3197,3996,26258,3311,17754,10233,2692,2585,275727,56474,16009,12821,8475,766,2610,12097,0,0,1229,0,1852,616,133312,1080,4203,0,4097,106,12767,12502,14773,6295,8477,0,18616,18616,0,52,34450,25137,1725,5823,1765,248016,13922,11132,11095,37,55599,3376,52223,1288,40377,30563,7396,10557,0,102488,7343,3375,57759,16618,17393,64876,0,87,0,0,0,0,2016,"Financial Year (Apr - Mar), 2016"
MEGHALAYA,2016-17,Revised Estimates,859395,616371,297948,158506,62566,999,16793,3315,7833,10541,4267,12913,14983,2726,2506,318423,92240,31208,25245,10634,1233,5270,12750,0,0,1365,0,2331,2205,90671,9244,7836,70,7595,171,18340,16470,17666,9399,8267,0,16393,16393,0,86,65946,50014,2418,10979,2535,243024,15741,7306,7263,43,58505,3376,55129,1748,43474,32189,7655,9888,19,111012,7824,4739,61113,19404,17932,49098,1362,141,0,0,0,0,2016,"Financial Year (Apr - Mar), 2016"
MEGHALAYA,2016-17,Budget Estimates,859395,616371,297948,158506,62566,999,16793,3315,7833,10541,4267,12913,14983,2726,2506,318423,92240,31208,25245,10634,1233,5270,12750,0,0,1365,0,2331,2205,90671,9244,7836,70,7595,171,18340,16470,17666,9399,8267,0,16393,16393,0,86,65946,50014,2418,10979,2535,243024,15741,7306,7263,43,58505,3376,55129,1748,43474,32189,7655,9888,19,111012,7824,4739,61113,19404,17932,49098,1362,141,0,0,0,0,2016,"Financial Year (Apr - Mar), 2016"
HARYANA,2016-17,Accounts,6840343,4634870,2547349,1106040,263077,16947,173406,2892,275363,56469,32636,490072,14244,102308,13896,2087521,251940,74296,5886,60476,83,4438,26492,0,22696,32079,0,25338,157,289208,0,141172,125020,742,0,1051498,1050147,34980,23418,11562,0,281984,95427,186557,2669,34071,16381,239,14939,2512,2163079,81843,39230,39090,141,1054191,0,1054191,10791,942082,576817,130014,97152,4166,417855,13904,18208,321415,20702,43627,565934,4025,0,42395,42395,0,0,2016,"Financial Year (Apr - Mar), 2016"
ASSAM,2016-17,Budget Estimates,6245904,4164867,2907793,1587192,360835,27180,62455,223050,74768,198884,14177,102056,40089,206216,10890,1257074,397744,130169,12538,37267,4135,7834,91662,0,72046,23061,0,17556,1476,395519,33561,92419,16606,43995,31314,19115,19029,69470,48261,21208,0,195612,173033,22579,3444,50190,38748,3084,106,8252,2011592,47409,67216,66970,246,338453,17521,320932,10564,233795,122830,95675,76573,0,714561,163589,19778,394489,30623,106082,768019,75934,0,69445,69445,0,0,2016,"Financial Year (Apr - Mar), 2016"
GOA,2016-17,Accounts,886597,599347,334554,146700,59790,1262,28802,913,9032,13536,4787,65137,1582,477,2536,264794,29307,13073,206,3155,4940,1825,4440,0,309,223,0,1058,79,14305,826,13613,6559,4486,1469,156317,156313,10359,2080,7921,358,28240,12416,15824,659,11167,1601,7771,607,1188,287250,11380,6040,6040,0,117803,3000,114803,1923,90735,57903,27565,15593,6552,63957,3751,4229,35841,8914,11223,84433,3637,80,0,0,0,0,2016,"Financial Year (Apr - Mar), 2016"
TAMIL NADU,2016-17,Budget Estimates,16402956,9792786,5782633,2812970,653473,194039,97084,217464,91079,385264,61010,839528,339937,71386,19400,4010152,1054048,555814,10258,85285,5369,39450,43075,4,0,66529,0,233780,14483,1072568,487,132510,110751,9447,11961,718676,718370,283172,106827,176345,0,117219,93687,23532,1601,629871,7132,2467,569713,50558,5328655,152372,117983,117069,914,2083517,38500,2045017,46864,1678546,1328014,233950,298850,20758,850999,31882,111599,545591,38871,123056,2076925,46858,0,1281515,1281515,0,0,2016,"Financial Year (Apr - Mar), 2016"
HIMACHAL PRADESH,2017-18,Budget Estimates,2875522,1783043,1130829,619526,142367,43768,108740,12664,37292,6942,32872,86259,6831,26000,7569,652214,203865,63153,8111,35361,2041,2989,49397,150,22678,15775,0,3211,1000,152686,0,42773,2061,40274,437,50130,49625,11977,10275,1702,0,173805,151310,22495,1151,15828,4268,9073,1117,1371,1091579,28150,27129,26989,139,350000,0,350000,7813,251517,163623,68573,90670,0,188808,8302,19653,105203,32332,23318,495000,2492,0,900,900,0,0,2017,"Financial Year (Apr - Mar), 2017"
TAMIL NADU,2016-17,Revised Estimates,15925907,9401175,5790839,2772054,642601,188331,133649,217838,108928,412050,57147,851253,328375,60156,18458,3610336,1038293,544925,11572,86407,6852,34801,33736,1,0,72182,0,232894,14923,765144,443,115100,97838,4942,11961,642704,642133,280077,109067,171010,0,143848,94093,49755,1787,622940,7169,2592,570289,42890,5270943,179620,109168,108237,931,2106912,38300,2068612,47750,1682101,1318968,252424,318015,20747,832249,35439,99576,530893,40088,126253,2000243,42751,0,1253789,1253789,0,0,2016,"Financial Year (Apr - Mar), 2016"
TAMIL NADU,2016-17,Accounts,15319526,8927699,5529727,2603355,616091,179261,133715,117677,114274,358685,46342,802039,303986,236398,17905,3397972,988162,534464,10581,63069,6060,31049,28059,1,101,70346,0,229633,14800,591924,299,141258,119387,7682,14003,630132,629633,277991,108347,169645,0,152201,86685,65516,1435,614570,6763,2306,569875,35626,5145270,138099,97254,96447,807,2091810,38487,2053324,49051,1674895,1318968,252424,315018,14360,781115,24029,104782,516684,25568,110053,1997284,39708,0,1246558,1246558,0,0,2016,"Financial Year (Apr - Mar), 2016"
MADHYA PRADESH,2016-17,Budget Estimates,12258533,8371446,5395042,2669318,630197,39158,176227,161218,542980,401458,36873,408843,138305,147825,42640,2976404,837048,345591,9335,91509,0,8226,173679,0,119758,13575,0,75377,0,876529,0,81456,61832,17998,1626,674347,671576,269421,44252,225169,0,171442,171417,25,17805,48356,4197,14907,26881,2370,3291042,108135,308870,308518,351,1023338,0,1023338,72402,813702,487287,240000,116981,20252,803158,18383,71485,497013,55129,161148,1043412,4128,0,596045,596045,0,0,2016,"Financial Year (Apr - Mar), 2016"
JHARKHAND,2016-17,Budget Estimates,4876192,3434917,2124060,949110,230680,11160,134012,4650,215078,161351,21649,236935,81692,64254,13488,1310857,260034,103502,8999,25622,30370,5061,59461,0,0,11226,0,15280,512,699508,0,48542,37424,9518,100,70118,55118,44163,16582,27581,0,42574,29006,13568,0,145918,4801,4532,133081,3503,1441260,43402,46783,46528,255,438043,20000,418043,14150,377719,230301,92503,25372,802,434062,11324,47857,330465,12949,31468,478967,2,0,15,15,0,0,2016,"Financial Year (Apr - Mar), 2016"
JHARKHAND,2016-17,Revised Estimates,5178377,3729912,2195906,907926,218413,11070,134361,4650,262218,182103,21558,225302,81692,129315,17300,1534006,266131,96184,8999,24501,26553,7036,56386,0,0,12875,0,32683,912,841947,0,40242,31424,8018,100,160118,145118,38799,15567,23233,0,47435,30551,16884,0,139334,5019,4052,126544,3720,1448450,49365,47366,47110,255,439265,20000,419265,14150,377790,205301,92503,25872,1453,433485,11938,41664,334017,12909,32957,478967,2,0,15,15,0,0,2016,"Financial Year (Apr - Mar), 2016"
MADHYA PRADESH,2016-17,Revised Estimates,12451601,8660749,4904622,2301455,554139,39414,217832,307626,414586,332085,34606,427330,138226,86198,51127,3756127,1065295,506910,6118,87116,0,8082,159145,0,161656,20298,0,115970,0,848616,0,75415,56281,17601,1534,1261199,1260726,293695,33606,260089,0,157978,157968,10,23503,30425,2848,13959,11451,2168,3096774,87158,271136,270915,220,993650,0,993650,73752,791151,523964,204000,116756,11991,741368,15214,55404,442092,42890,185768,1001351,2110,0,694078,694078,0,0,2016,"Financial Year (Apr - Mar), 2016"
GOA,2016-17,Revised Estimates,998845,692646,384833,167634,72314,1499,35414,1462,15321,8988,6596,67177,1853,2473,4102,307813,35379,14891,266,3876,6131,2858,4968,0,648,311,0,1337,92,17633,1112,15325,7443,4987,1710,163998,163699,23684,3342,15942,4400,33033,14444,18589,1094,16555,3411,10444,1308,1392,306199,12369,7161,7161,0,123954,3000,120954,3033,92514,56895,29940,17400,8007,73210,4984,4615,40386,10831,12395,83217,6288,78,0,0,0,0,2016,"Financial Year (Apr - Mar), 2016"
GOA,2016-17,Budget Estimates,1048314,737663,411825,173909,74921,1499,34811,1462,23410,16562,8660,68161,1853,2473,4102,325838,44909,18082,290,4917,8928,4745,4971,0,648,344,0,1849,134,18689,1282,15107,7442,4769,1710,159141,158841,29089,8505,16184,4400,36646,15161,21485,1972,19004,3430,10980,1335,3259,310651,12531,8074,8061,13,123954,3000,120954,3033,92514,56895,29940,17400,8007,76411,4984,4620,42208,10268,14331,83217,6465,255,0,0,0,0,2016,"Financial Year (Apr - Mar), 2016"
KERALA,2016-17,Budget Estimates,9768310,4699843,3287280,1679890,492758,39843,84487,10460,131961,286296,86429,437045,73,21110,16929,1412563,607453,135624,11389,61221,16347,29575,54089,0,162123,52561,0,31537,52986,357502,19798,53578,29577,19517,4043,13896,7809,45675,41313,3352,1010,228324,207935,20389,18821,67516,30040,18736,3246,15494,4330560,93974,160130,143569,16562,1262995,0,1262995,35129,928055,758053,119914,299811,0,506729,22918,38798,319314,16883,108817,1550343,756389,504138,737907,737907,0,0,2016,"Financial Year (Apr - Mar), 2016"
PUNJAB,2016-17,Budget Estimates,5816379,2979872,1856010,972432,302875,26041,48044,75802,10364,114110,26391,193612,18206,46900,21234,1123862,694208,575930,13226,40410,1167,1809,14350,0,0,37603,0,8814,901,56355,0,141002,110638,16223,14141,65599,65500,21046,15661,5385,0,35653,1268,34385,1298,108700,3558,14403,86374,4365,2660055,79766,55994,55756,238,1078793,0,1078793,12361,838327,597101,220271,185234,42870,662348,21094,32030,499358,43467,66398,776765,6389,6218,176452,176452,0,0,2016,"Financial Year (Apr - Mar), 2016"
MADHYA PRADESH,2016-17,Accounts,11953737,8482716,4794243,2114363,500274,37283,301696,334566,481963,309505,29053,386145,137444,109697,52253,3688473,1031113,496992,5765,78481,0,6645,153032,0,160073,20778,0,109347,0,881765,0,68761,52946,15047,769,1247620,1247405,284694,28523,256170,0,124495,124495,0,22396,27630,2646,14059,8974,1950,2790311,94610,263327,263135,192,907949,0,907949,64224,728037,479461,189337,103973,11714,641652,16793,49851,450288,42884,81836,879316,3457,0,680709,680709,0,0,2016,"Financial Year (Apr - Mar), 2016"
KERALA,2016-17,Revised Estimates,9455563,4548908,3254994,1631327,501298,48644,82391,10215,92547,221950,90510,536411,74,20429,19198,1293914,583156,144224,10615,54720,14973,28094,45788,0,137566,49457,0,43811,53906,274712,17030,54794,30048,19617,4760,12354,7892,43483,40555,2818,110,224607,208731,15876,18141,65638,30014,17023,2800,15801,4168748,95395,158499,142009,16490,1238674,0,1238674,32129,922665,755493,120331,283880,0,502727,23246,38646,323339,12465,105031,1540358,633094,601830,737907,737907,0,0,2016,"Financial Year (Apr - Mar), 2016"
KERALA,2016-17,Accounts,9109631,4442007,3376472,1706109,521910,51202,93090,8389,86635,257613,90253,523283,70,19644,18273,1065535,608813,130729,11215,57604,15618,36675,51898,0,155315,47971,0,43459,58329,128016,16676,50818,28731,18210,3399,8497,5903,50781,46749,3233,800,128506,118263,10242,15143,58285,22789,16966,3003,15527,4119533,95510,165158,144153,21005,1211650,0,1211650,33475,910229,755492,110071,267946,0,493985,23056,39700,310473,16599,104157,1527703,625527,599245,548091,548091,0,0,2016,"Financial Year (Apr - Mar), 2016"
ANDHRA PRADESH,2016-17,Accounts,11617821,8329881,5022787,1721294,469420,134983,113276,45773,430799,795231,27064,799732,336699,120698,27818,3307095,790847,589981,3448,73486,0,25590,26691,0,6825,51338,0,12624,864,980160,0,59633,50311,8850,25,1148315,1147791,86994,27068,53876,6050,118070,98634,19436,3128,119948,86881,3993,19196,9877,3278614,49845,91800,91800,0,1229236,59500,1169736,43288,1036813,855143,153412,89635,0,620471,17525,91268,416752,23072,71853,1287235,27,0,9326,9326,0,0,2016,"Financial Year (Apr - Mar), 2016"
CHHATTISGARH,2016-17,Accounts,4816460,3551782,2134161,1107936,276883,19844,133758,124959,151690,19636,22004,142467,64643,56057,14284,1417621,676872,153765,12281,34626,0,7444,103074,0,321297,10801,0,31886,1696,429911,0,52482,41601,9262,1290,103589,100977,75832,15660,59622,550,71267,65310,5958,1248,6420,1494,2285,0,2641,1149623,30468,120348,120258,90,288683,20000,268683,13749,210716,130323,61482,37096,7124,361470,10839,21537,262455,31925,34713,348627,27,0,115055,115055,0,0,2016,"Financial Year (Apr - Mar), 2016"
ARUNACHAL PRADESH,2016-17,Accounts,939454,662678,304647,140912,67875,1357,51437,2554,4593,0,2554,13589,2256,12887,4633,358031,77022,22364,6157,10307,296,4157,23273,0,6101,2312,0,1792,262,42177,12128,18015,0,16353,0,79660,75453,7887,5860,1297,731,90905,77035,13870,2492,27745,19315,3111,2587,2732,276776,12396,4168,4038,130,54923,15000,39923,0,0,0,0,0,39923,141134,11247,26196,73332,22640,7720,64058,98,0,0,0,0,0,2016,"Financial Year (Apr - Mar), 2016"
ARUNACHAL PRADESH,2016-17,Revised Estimates,978107,696322,306279,131686,73424,1357,49529,3254,7914,0,3106,14607,3867,12887,4649,390043,74307,20347,6450,10380,304,2141,24084,0,6544,2199,0,1747,112,49434,19271,24013,0,22351,0,82380,78173,8168,5935,1326,906,101024,86261,14763,2529,28918,20273,3324,2442,2878,281785,13162,4318,4188,130,59461,15000,44461,44461,0,0,0,0,0,151497,11917,26421,78883,26707,7568,53200,147,0,0,0,0,0,2016,"Financial Year (Apr - Mar), 2016"
ARUNACHAL PRADESH,2016-17,Budget Estimates,1055332,768168,393211,203601,87468,0,42246,4779,13761,0,3802,22830,4671,6214,3838,374957,72588,22691,6933,13872,2442,2350,18017,0,3594,497,0,1908,283,42449,15727,15956,0,15956,0,68066,47224,11143,5956,2603,2584,117402,103658,13743,3005,28622,17499,4884,3324,2914,287165,12403,4246,4107,139,80084,30000,50084,0,0,0,0,0,50084,136033,9381,24404,75471,19426,7350,54300,99,0,0,0,0,0,2016,"Financial Year (Apr - Mar), 2016"
