srcStateName,srcYear,Budget type,Total expenditure,Developmental expenditure,Social services,"Education, sports, art and culture",Medical and public health,Family welfare,Water supply and sanitation,Housing,Urban development,"Welfare of scheduled caste, scheduled tribes and other backward classes",Labour and labour welfare,Social security and welfare,Nutrition,Relief on account of natural calamities,Other social services,Economic services,Agriculture and allied activities,Crop husbandry,Soil and water conservation,Animal husbandry,Dairy development,Fisheries,Forestry and wild life,Plantations,Food storage and Warehousing,Agricultural research and education,Agricultural finance institutions,Cooperation,Other agricultural programmes,Rural development,Special area programmes,Irrigation and flood control,Major and medium irrigation,Minor irrigation,Flood control and drainage,Energy,Power,Industry and minerals,Village and small industries,Industries,Other industries,Transport and communications,Roads and bridges,Others means of transport and communications,"Science, technology and environment",General economic services,Secretariat services,Tourism,Civil supplies,Others general economic services,Non developmental expenditure,Organs of state,Fiscal services,Collection of taxes and duties,Other fiscal services,Interest payments and services of debt,Appropriation for reduction or avoidance of debt,Interest payments,Interest on loans from the centre,Interest on internal debt,Interest on market loans,Interest on National Food Security Food ( NSSF ),"Interest on small savings, provident funds, etc",Other interests on internal debt,Administrative services,Secretariat services,District administration,Police,Public works,Other administrative services,Pensions,Miscellaneous general services,Payment on account of state lotteries,Grants-in-aid and contributions,Compensation and assignments to local bodies and Panchayati Raj Institutions,"Transfers to road fund, education cess fund, etc",Reserve with finance department,YearCode,Year
GOA,2011-12,Accounts,548208,384900,194984,95673,37014,950,24676,1035,7858,1915,3396,18966,1038,452,2011,189916,20223,8215,169,2011,890,2247,3787,0,1681,159,0,973,91,9004,760,7794,2670,3037,1463,116420,116371,7378,2214,5034,130,20750,14259,6491,389,7198,1642,3903,262,1391,163308,7434,3680,3678,2,73517,3000,70517,2960,51683,21161,27540,11232,4643,36856,2334,2522,19125,7081,5793,41030,792,41,0,0,0,0,2011,"Financial Year (Apr - Mar), 2011"
WEST BENGAL,2011-12,Budget Estimates,7413875,4382663,3346440,1617715,335853,50217,107084,13155,466480,63297,20306,518460,92305,32842,28726,1036223,220020,64687,2576,32355,16029,11654,36033,0,17173,13090,0,19957,6467,339497,0,109463,32752,52930,22981,21398,20000,76433,38169,38264,0,111581,53496,58085,4443,36542,8668,2849,4672,20352,2979456,74652,122177,118628,3549,1602334,93000,1509334,81180,1301450,555383,680205,62100,64604,489658,17390,16324,319569,47113,89261,687915,2720,2536,51756,51756,0,0,2011,"Financial Year (Apr - Mar), 2011"
WEST BENGAL,2011-12,Revised Estimates,7641740,4432706,3384794,1687433,322732,43546,106671,12835,413845,89438,19729,543332,84262,32529,28443,1047912,218592,70642,2569,29725,14009,12167,35590,0,17357,12560,0,18775,5199,360692,0,115587,41751,51608,21426,24870,23789,64058,33511,30547,0,107894,51776,56119,3960,40132,8726,2429,4523,24454,3160728,78135,118203,114976,3228,1609731,0,1609731,65613,1408428,583830,765858,64000,71690,512371,16579,15481,347669,42791,89851,838554,3734,3567,48306,48306,0,0,2011,"Financial Year (Apr - Mar), 2011"
UTTARAKHAND,2011-12,Accounts,1297533,812129,601967,346286,61893,7911,26251,174,17110,17736,5400,50724,0,62915,5567,210162,119157,42910,21,9064,1113,514,30515,56,19973,11476,0,3516,0,33528,0,28885,23217,5344,324,998,24,4287,3777,510,0,17530,15645,1885,1363,4415,1034,2812,282,286,447523,20367,19181,18813,368,179421,2500,176921,3818,132581,57837,63424,36861,3661,114540,7055,6563,64285,24596,12040,113510,505,0,37880,37880,0,0,2011,"Financial Year (Apr - Mar), 2011"
UTTARAKHAND,2011-12,Revised Estimates,1432154,875682,615261,314688,67725,8077,31756,182,20154,23620,7141,67500,0,66047,8372,260421,144212,50616,0,9353,1223,579,33525,55,32134,12095,0,4633,0,44945,0,29489,23557,5547,385,1524,286,4512,3928,584,0,21318,19300,2018,2533,11889,2439,5878,415,3156,509964,25435,21900,21414,486,195702,16000,179702,4000,133315,55361,66000,32700,9687,125229,9835,7270,68955,24615,14554,141495,202,0,46508,46508,0,0,2011,"Financial Year (Apr - Mar), 2011"
UTTARAKHAND,2011-12,Budget Estimates,1432570,879904,644789,330638,75303,8915,44097,182,30956,17587,7090,60048,0,63347,6627,235114,126598,40347,0,8735,1223,579,30778,55,32134,8845,0,3902,0,37577,0,30771,24649,5737,385,950,276,4193,3692,501,0,21268,19300,1968,2503,11254,2411,5370,415,3059,499394,22564,20975,20511,464,197203,16000,181203,4000,134911,51561,66000,32700,9592,116956,9583,7270,64583,22905,12615,141495,202,0,53272,53272,0,0,2011,"Financial Year (Apr - Mar), 2011"
WEST BENGAL,2011-12,Accounts,7332637,4053290,3156377,1589642,312347,47581,65680,10344,319788,77418,17577,507424,68553,119200,20823,896912,193700,73805,2334,25853,10640,10351,30853,0,15644,11966,0,10275,1982,293155,97089,85364,27652,37429,19464,38085,36895,59377,31345,28031,0,102074,57296,44778,1689,26380,7363,2239,3557,13221,3228897,54890,98800,96320,2479,1589599,0,1589599,66092,1412460,583896,765858,56943,54104,475429,16499,14377,320173,44758,79623,1006574,3604,3525,50451,50451,0,0,2011,"Financial Year (Apr - Mar), 2011"
KERALA,2011-12,Budget Estimates,4496142,2295610,1686576,986980,238873,25754,60283,12249,62302,94055,52895,125494,270,17719,9703,609034,285150,90396,5366,32350,9846,15141,30365,0,60202,23487,0,16635,1362,55949,0,46015,24198,18657,2335,4261,4178,29964,22822,7142,0,130191,120521,9670,10767,42901,14347,18692,1418,8444,1866884,55839,92012,81367,10644,657256,31800,625456,44833,417230,244049,114737,163393,0,273046,12974,21093,160989,17128,60862,731191,57542,55910,333648,333648,0,0,2011,"Financial Year (Apr - Mar), 2011"
KERALA,2011-12,Revised Estimates,4505949,2258815,1609003,932397,239095,25754,51533,10755,46458,101433,50534,125675,270,15407,9693,649813,291655,87288,4890,33320,9887,18335,30009,0,64672,23714,0,17723,1817,65835,0,46126,24270,18695,2337,12321,5542,29812,22490,7054,267,147098,131668,15430,10067,43141,14208,19045,1422,8466,1902151,57118,91153,80507,10645,636843,1000,635843,39933,417625,248466,113687,178286,0,272127,13339,20983,159686,17329,60790,773074,71836,66891,344983,344983,0,0,2011,"Financial Year (Apr - Mar), 2011"
KERALA,2011-12,Accounts,4604462,2235553,1622386,942474,247378,30621,38302,10556,27397,105892,42659,151036,160,14181,11729,613166,309889,87617,5007,33617,10603,20802,29112,0,78996,23806,0,18503,1826,41436,3397,36217,20051,13941,1644,9813,5487,31586,25001,6345,240,133067,116274,16793,8355,39407,13414,14804,2157,9031,2030002,54885,94785,83559,11226,630360,1000,629360,41932,411896,248474,113687,175532,0,281396,14016,21975,172109,14154,59143,870030,98546,90173,338908,338908,0,0,2011,"Financial Year (Apr - Mar), 2011"
